From	To	Species	Gene Name
ATP1B2	ENSG00000129244	Homo sapiens	ATPase Na+/K+ transporting subunit beta 2(ATP1B2)
S100A7	ENSG00000143556	Homo sapiens	S100 calcium binding protein A7(S100A7)
S100A9	ENSG00000163220	Homo sapiens	S100 calcium binding protein A9(S100A9)
PDLIM4	ENSG00000131435	Homo sapiens	PDZ and LIM domain 4(PDLIM4)
AQP5	ENSG00000161798	Homo sapiens	aquaporin 5(AQP5)
AQP4	ENSG00000171885	Homo sapiens	aquaporin 4(AQP4)
GGT1	ENSG00000100031	Homo sapiens	gamma-glutamyltransferase 1(GGT1)
POSTN	ENSG00000133110	Homo sapiens	periostin(POSTN)
SYT7	ENSG00000011347	Homo sapiens	synaptotagmin 7(SYT7)
AQP1	ENSG00000240583	Homo sapiens	aquaporin 1 (Colton blood group)(AQP1)
AQP3	ENSG00000165272	Homo sapiens	aquaporin 3 (Gill blood group)(AQP3)
SHD	ENSG00000105251	Homo sapiens	Src homology 2 domain containing transforming protein D(SHD)
HTRA1	ENSG00000166033	Homo sapiens	HtrA serine peptidase 1(HTRA1)
CFH	ENSG00000000971	Homo sapiens	complement factor H(CFH)
HTRA3	ENSG00000170801	Homo sapiens	HtrA serine peptidase 3(HTRA3)
CFI	ENSG00000205403	Homo sapiens	complement factor I(CFI)
S100A1	ENSG00000160678	Homo sapiens	S100 calcium binding protein A1(S100A1)
MUC13	ENSG00000173702	Homo sapiens	mucin 13, cell surface associated(MUC13)
PITX1	ENSG00000069011	Homo sapiens	paired like homeodomain 1(PITX1)
S100A2	ENSG00000196754	Homo sapiens	S100 calcium binding protein A2(S100A2)
STC2	ENSG00000113739	Homo sapiens	stanniocalcin 2(STC2)
DUOXA1	ENSG00000140254	Homo sapiens	dual oxidase maturation factor 1(DUOXA1)
SCGB2A1	ENSG00000124939	Homo sapiens	secretoglobin family 2A member 1(SCGB2A1)
VSIG2	ENSG00000019102	Homo sapiens	V-set and immunoglobulin domain containing 2(VSIG2)
RHCG	ENSG00000140519	Homo sapiens	Rh family C glycoprotein(RHCG)
LAMC2	ENSG00000058085	Homo sapiens	laminin subunit gamma 2(LAMC2)
GCNT3	ENSG00000140297	Homo sapiens	glucosaminyl (N-acetyl) transferase 3, mucin type(GCNT3)
ELN	ENSG00000049540	Homo sapiens	elastin(ELN)
IGF2BP2	ENSG00000073792	Homo sapiens	insulin like growth factor 2 mRNA binding protein 2(IGF2BP2)
TAGLN3	ENSG00000144834	Homo sapiens	transgelin 3(TAGLN3)
SERINC2	ENSG00000168528	Homo sapiens	serine incorporator 2(SERINC2)
HOXA10	ENSG00000253293	Homo sapiens	homeobox A10(HOXA10)
C2orf40	ENSG00000119147	Homo sapiens	chromosome 2 open reading frame 40(C2orf40)
MLC1	ENSG00000100427	Homo sapiens	megalencephalic leukoencephalopathy with subcortical cysts 1(MLC1)
S100A16	ENSG00000188643	Homo sapiens	S100 calcium binding protein A16(S100A16)
LGALS3	ENSG00000131981	Homo sapiens	galectin 3(LGALS3)
LGALS4	ENSG00000171747	Homo sapiens	galectin 4(LGALS4)
CFB	ENSG00000243649	Homo sapiens	complement factor B(CFB)
SCD	ENSG00000099194	Homo sapiens	stearoyl-CoA desaturase(SCD)
LGALS2	ENSG00000100079	Homo sapiens	galectin 2(LGALS2)
PMEL	ENSG00000185664	Homo sapiens	premelanosome protein(PMEL)
LGALS7	ENSG00000205076	Homo sapiens	galectin 7(LGALS7)
S100A11	ENSG00000163191	Homo sapiens	S100 calcium binding protein A11(S100A11)
CDC20	ENSG00000117399	Homo sapiens	cell division cycle 20(CDC20)
S100A14	ENSG00000189334	Homo sapiens	S100 calcium binding protein A14(S100A14)
ECM1	ENSG00000143369	Homo sapiens	extracellular matrix protein 1(ECM1)
S100A12	ENSG00000163221	Homo sapiens	S100 calcium binding protein A12(S100A12)
CYP4B1	ENSG00000142973	Homo sapiens	cytochrome P450 family 4 subfamily B member 1(CYP4B1)
CBLC	ENSG00000142273	Homo sapiens	Cbl proto-oncogene C(CBLC)
CKMT1A	ENSG00000223572	Homo sapiens	creatine kinase, mitochondrial 1A(CKMT1A)
LGALS7B	ENSG00000178934	Homo sapiens	galectin 7B(LGALS7B)
LAMA3	ENSG00000053747	Homo sapiens	laminin subunit alpha 3(LAMA3)
SFRP1	ENSG00000104332	Homo sapiens	secreted frizzled related protein 1(SFRP1)
NPY	ENSG00000122585	Homo sapiens	neuropeptide Y(NPY)
SFRP2	ENSG00000145423	Homo sapiens	secreted frizzled related protein 2(SFRP2)
SFRP4	ENSG00000106483	Homo sapiens	secreted frizzled related protein 4(SFRP4)
BMP7	ENSG00000101144	Homo sapiens	bone morphogenetic protein 7(BMP7)
AGR3	ENSG00000173467	Homo sapiens	anterior gradient 3, protein disulphide isomerase family member(AGR3)
AGR2	ENSG00000106541	Homo sapiens	anterior gradient 2, protein disulphide isomerase family member(AGR2)
PDZK1	ENSG00000174827	Homo sapiens	PDZ domain containing 1(PDZK1)
CKMT1B	ENSG00000237289	Homo sapiens	creatine kinase, mitochondrial 1B(CKMT1B)
CKB	ENSG00000166165	Homo sapiens	creatine kinase B(CKB)
EDNRB	ENSG00000136160	Homo sapiens	endothelin receptor type B(EDNRB)
COL11A1	ENSG00000060718	Homo sapiens	collagen type XI alpha 1 chain(COL11A1)
DHCR24	ENSG00000116133	Homo sapiens	24-dehydrocholesterol reductase(DHCR24)
CYR61	ENSG00000142871	Homo sapiens	cysteine rich angiogenic inducer 61(CYR61)
PLEK2	ENSG00000100558	Homo sapiens	pleckstrin 2(PLEK2)
EHF	ENSG00000135373	Homo sapiens	ETS homologous factor(EHF)
CLDN10	ENSG00000134873	Homo sapiens	claudin 10(CLDN10)
SFN	ENSG00000175793	Homo sapiens	stratifin(SFN)
RNU4-1	ENSG00000200795	Homo sapiens	RNA, U4 small nuclear 1(RNU4-1)
MEG3	ENSG00000214548	Homo sapiens	maternally expressed 3 (non-protein coding)(MEG3)
THBS1	ENSG00000137801	Homo sapiens	thrombospondin 1(THBS1)
THBS2	ENSG00000186340	Homo sapiens	thrombospondin 2(THBS2)
DTNA	ENSG00000134769	Homo sapiens	dystrobrevin alpha(DTNA)
THBS4	ENSG00000113296	Homo sapiens	thrombospondin 4(THBS4)
BCAS1	ENSG00000064787	Homo sapiens	breast carcinoma amplified sequence 1(BCAS1)
TBX3	ENSG00000135111	Homo sapiens	T-box 3(TBX3)
PTPRZ1	ENSG00000106278	Homo sapiens	protein tyrosine phosphatase, receptor type Z1(PTPRZ1)
ATP1A3	ENSG00000105409	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)
ATP1A2	ENSG00000018625	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)
DKK3	ENSG00000050165	Homo sapiens	dickkopf WNT signaling pathway inhibitor 3(DKK3)
NUPR1	ENSG00000176046	Homo sapiens	nuclear protein 1, transcriptional regulator(NUPR1)
CNFN	ENSG00000105427	Homo sapiens	cornifelin(CNFN)
RNU4-2	ENSG00000202538	Homo sapiens	RNA, U4 small nuclear 2(RNU4-2)
ABCC3	ENSG00000108846	Homo sapiens	ATP binding cassette subfamily C member 3(ABCC3)
TJP3	ENSG00000105289	Homo sapiens	tight junction protein 3(TJP3)
BAMBI	ENSG00000095739	Homo sapiens	BMP and activin membrane bound inhibitor(BAMBI)
MAGED4B	ENSG00000187243	Homo sapiens	MAGE family member D4B(MAGED4B)
TUSC3	ENSG00000104723	Homo sapiens	tumor suppressor candidate 3(TUSC3)
CRABP1	ENSG00000166426	Homo sapiens	cellular retinoic acid binding protein 1(CRABP1)
CRABP2	ENSG00000143320	Homo sapiens	cellular retinoic acid binding protein 2(CRABP2)
GSTM1	ENSG00000134184	Homo sapiens	glutathione S-transferase mu 1(GSTM1)
GSTM3	ENSG00000134202	Homo sapiens	glutathione S-transferase mu 3(GSTM3)
SLC4A4	ENSG00000080493	Homo sapiens	solute carrier family 4 member 4(SLC4A4)
NQO1	ENSG00000181019	Homo sapiens	NAD(P)H quinone dehydrogenase 1(NQO1)
TFPI2	ENSG00000105825	Homo sapiens	tissue factor pathway inhibitor 2(TFPI2)
SPARCL1	ENSG00000152583	Homo sapiens	SPARC like 1(SPARCL1)
SCUBE2	ENSG00000175356	Homo sapiens	signal peptide, CUB domain and EGF like domain containing 2(SCUBE2)
CA12	ENSG00000074410	Homo sapiens	carbonic anhydrase 12(CA12)
PTHLH	ENSG00000087494	Homo sapiens	parathyroid hormone like hormone(PTHLH)
TNS4	ENSG00000131746	Homo sapiens	tensin 4(TNS4)
TNNT1	ENSG00000105048	Homo sapiens	troponin T1, slow skeletal type(TNNT1)
LYNX1	ENSG00000180155	Homo sapiens	Ly6/neurotoxin 1(LYNX1)
CPE	ENSG00000109472	Homo sapiens	carboxypeptidase E(CPE)
C5orf38	ENSG00000186493	Homo sapiens	chromosome 5 open reading frame 38(C5orf38)
SLC38A5	ENSG00000017483	Homo sapiens	solute carrier family 38 member 5(SLC38A5)
MSMB	ENSG00000263639	Homo sapiens	microseminoprotein beta(MSMB)
SOX2	ENSG00000181449	Homo sapiens	SRY-box 2(SOX2)
SNORA73A	ENSG00000274266	Homo sapiens	small nucleolar RNA, H/ACA box 73A(SNORA73A)
SOX9	ENSG00000125398	Homo sapiens	SRY-box 9(SOX9)
SOX8	ENSG00000005513	Homo sapiens	SRY-box 8(SOX8)
CHIT1	ENSG00000133063	Homo sapiens	chitinase 1(CHIT1)
MYL9	ENSG00000101335	Homo sapiens	myosin light chain 9(MYL9)
NDRG4	ENSG00000103034	Homo sapiens	NDRG family member 4(NDRG4)
PPL	ENSG00000118898	Homo sapiens	periplakin(PPL)
MSLN	ENSG00000102854	Homo sapiens	mesothelin(MSLN)
SFTPC	ENSG00000168484	Homo sapiens	surfactant protein C(SFTPC)
HOXA9	ENSG00000078399	Homo sapiens	homeobox A9(HOXA9)
B3GNT3	ENSG00000179913	Homo sapiens	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3(B3GNT3)
IVL	ENSG00000163207	Homo sapiens	involucrin(IVL)
SFTPB	ENSG00000168878	Homo sapiens	surfactant protein B(SFTPB)
SOX2-OT	ENSG00000242808	Homo sapiens	SOX2 overlapping transcript(SOX2-OT)
MISP	ENSG00000099812	Homo sapiens	mitotic spindle positioning(MISP)
REEP2	ENSG00000132563	Homo sapiens	receptor accessory protein 2(REEP2)
ADGRG1	ENSG00000205336	Homo sapiens	adhesion G protein-coupled receptor G1(ADGRG1)
SCARA3	ENSG00000168077	Homo sapiens	scavenger receptor class A member 3(SCARA3)
SST	ENSG00000157005	Homo sapiens	somatostatin(SST)
MUC5B	ENSG00000117983	Homo sapiens	mucin 5B, oligomeric mucus/gel-forming(MUC5B)
MLPH	ENSG00000115648	Homo sapiens	melanophilin(MLPH)
PRRX1	ENSG00000116132	Homo sapiens	paired related homeobox 1(PRRX1)
SULT2B1	ENSG00000088002	Homo sapiens	sulfotransferase family 2B member 1(SULT2B1)
LSR	ENSG00000105699	Homo sapiens	lipolysis stimulated lipoprotein receptor(LSR)
LTF	ENSG00000012223	Homo sapiens	lactotransferrin(LTF)
KLK11	ENSG00000167757	Homo sapiens	kallikrein related peptidase 11(KLK11)
KLK10	ENSG00000129451	Homo sapiens	kallikrein related peptidase 10(KLK10)
PPP1R14C	ENSG00000198729	Homo sapiens	protein phosphatase 1 regulatory inhibitor subunit 14C(PPP1R14C)
KCNQ2	ENSG00000075043	Homo sapiens	potassium voltage-gated channel subfamily Q member 2(KCNQ2)
RAMP1	ENSG00000132329	Homo sapiens	receptor activity modifying protein 1(RAMP1)
TTC39A	ENSG00000085831	Homo sapiens	tetratricopeptide repeat domain 39A(TTC39A)
SOX10	ENSG00000100146	Homo sapiens	SRY-box 10(SOX10)
PIGY	ENSG00000255072	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class Y(PIGY)
NRXN2	ENSG00000110076	Homo sapiens	neurexin 2(NRXN2)
PIGR	ENSG00000162896	Homo sapiens	polymeric immunoglobulin receptor(PIGR)
CTSV	ENSG00000136943	Homo sapiens	cathepsin V(CTSV)
MUC3A	ENSG00000169894	Homo sapiens	mucin 3A, cell surface associated(MUC3A)
CTSK	ENSG00000143387	Homo sapiens	cathepsin K(CTSK)
CTSE	ENSG00000196188	Homo sapiens	cathepsin E(CTSE)
MAL2	ENSG00000147676	Homo sapiens	mal, T-cell differentiation protein 2 (gene/pseudogene)(MAL2)
LUM	ENSG00000139329	Homo sapiens	lumican(LUM)
CTNND2	ENSG00000169862	Homo sapiens	catenin delta 2(CTNND2)
CYP2B7P	ENSG00000256612	Homo sapiens	cytochrome P450 family 2 subfamily B member 7, pseudogene(CYP2B7P)
SPOCK1	ENSG00000152377	Homo sapiens	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1(SPOCK1)
PCDHGC3	ENSG00000240184	Homo sapiens	protocadherin gamma subfamily C, 3(PCDHGC3)
PCDHGC3	ENSG00000242419	Homo sapiens	protocadherin gamma subfamily C, 3(PCDHGC3)
WFDC21P	ENSG00000261040	Homo sapiens	WAP four-disulfide core domain 21, pseudogene(WFDC21P)
UGT1A6	ENSG00000167165	Homo sapiens	UDP glucuronosyltransferase family 1 member A6(UGT1A6)
FAM107A	ENSG00000168309	Homo sapiens	family with sequence similarity 107 member A(FAM107A)
KRT5	ENSG00000186081	Homo sapiens	keratin 5(KRT5)
SPRR2D	ENSG00000163216	Homo sapiens	small proline rich protein 2D(SPRR2D)
KRT7	ENSG00000135480	Homo sapiens	keratin 7(KRT7)
SPRR2A	ENSG00000241794	Homo sapiens	small proline rich protein 2A(SPRR2A)
KRT8	ENSG00000170421	Homo sapiens	keratin 8(KRT8)
ENO2	ENSG00000111674	Homo sapiens	enolase 2(ENO2)
PTN	ENSG00000105894	Homo sapiens	pleiotrophin(PTN)
CNN1	ENSG00000130176	Homo sapiens	calponin 1(CNN1)
FGFBP1	ENSG00000137440	Homo sapiens	fibroblast growth factor binding protein 1(FGFBP1)
MUC20	ENSG00000176945	Homo sapiens	mucin 20, cell surface associated(MUC20)
BAALC	ENSG00000164929	Homo sapiens	brain and acute leukemia, cytoplasmic(BAALC)
SPARC	ENSG00000113140	Homo sapiens	secreted protein acidic and cysteine rich(SPARC)
PLAC8	ENSG00000145287	Homo sapiens	placenta specific 8(PLAC8)
LINC00511	ENSG00000227036	Homo sapiens	long intergenic non-protein coding RNA 511(LINC00511)
KCNN4	ENSG00000104783	Homo sapiens	potassium calcium-activated channel subfamily N member 4(KCNN4)
NTS	ENSG00000133636	Homo sapiens	neurotensin(NTS)
SLC6A8	ENSG00000130821	Homo sapiens	solute carrier family 6 member 8(SLC6A8)
SPRR1A	ENSG00000169474	Homo sapiens	small proline rich protein 1A(SPRR1A)
C10orf99	ENSG00000188373	Homo sapiens	chromosome 10 open reading frame 99(C10orf99)
SPRR1B	ENSG00000169469	Homo sapiens	small proline rich protein 1B(SPRR1B)
MGST1	ENSG00000008394	Homo sapiens	microsomal glutathione S-transferase 1(MGST1)
